,commit,operationsSum,hunks,fileN,type
5319,dc476e7c8e7824fd326c79f50d7302faca7a4c2b,4.0,1.0,1.0,3.0
5320,dbf3c370862d73fcd2c74ca55e254bb02143238d,2.0,1.0,1.0,3.0
5322,fd432b9f8c7c88428a4635b9f5a9c6e174df6e36,4.0,1.0,1.0,3.0
5324,9bd27cba1aeacb6b12d05f4e5ed6361072f08fe0,6.0,1.0,1.0,3.0
5326,2491762cfb475dbdfa3db11ebea6de49f58b7fac,44.0,1.0,1.0,3.0
5328,414b7e3b9ce8b0577f613e656fdbc36b34b444dd,2.0,1.0,1.0,3.0
5329,2165136585b5c7d6f118f1d90fbde550bb7de212,6.0,1.0,1.0,3.0
5330,f276795627045a3c599a60b476767861e4318c7d,1.0,1.0,1.0,3.0
5333,bc733d495267a23ef8660220d696c6e549ce30b3,1.0,1.0,1.0,3.0
5335,944001201ca0196bcdb088129e5866a9f379d08c,11.0,1.0,1.0,3.0
5338,9632b41f00cc2fb2846569cc99dbeef78e5c94a0,4.0,1.0,1.0,3.0
5345,ce97e13e52848c6388598696b7d44748598db759,7.0,1.0,1.0,3.0
5348,7a98948f3b536ca9a077e84966ddc0e9f53726df,1.0,1.0,1.0,3.0
5351,e20fa6609a0076def469aeb799b1c25558e70042,1.0,1.0,1.0,3.0
5353,da35de640a0e9c805aba70439f524234890b96c5,1.0,1.0,1.0,3.0
5354,3295d73002f4be341069a000aec4b8d7e5ea8d2c,51.0,1.0,1.0,3.0
5355,f72c77a02fee184a376344328d18bcfdce740792,5.0,1.0,1.0,3.0
5358,3f8a6411fbada1fa482276591e037f3b1adcf55b,1.0,1.0,1.0,3.0
5360,c269b6abd65c24517b70ccc9430c4c50dbc0dc84,5.0,1.0,1.0,3.0
5363,316547fdfae1be3847add6a18a711703e6d5ebc1,27.0,1.0,1.0,3.0
5375,1b83336bb9fa4f110b5b0a4378a82cd5f0fd0ac8,3.0,1.0,1.0,3.0
5379,01e718ec194e30b3e8eb3858c742c13649757efc,1.0,1.0,1.0,3.0
5382,67c964000236497e00c646472cd6b70b5c5109c8,1.0,1.0,1.0,3.0
5387,b8d88d1d40c18d42e3fedc289832e28d14bc1f00,2.0,1.0,1.0,3.0
5398,78dbe706e22f54bce61571ad837238382e1ba5f9,4.0,1.0,1.0,3.0
5401,ac4199e0f047546aa40172785e26c82b54bbe811,1.0,1.0,1.0,3.0
5407,0d8fdfd71bc871ffc07fe4429db8d4934185a8ec,1.0,1.0,1.0,3.0
5409,d5dedf99e4ca9860ce8a1dd42db1cb666c360632,48.0,1.0,1.0,3.0
5413,bd7b3f34198071d8bec05180530c362f1800ba46,75.0,1.0,1.0,3.0
5419,780eef9492b16a1543a3b2ae9f9526a735fc9856,6.0,1.0,1.0,3.0
5420,0ef122494020521309be855bfdeeb41f34bf8c94,11.0,1.0,1.0,3.0
5424,aaa0566792dc7ae68deb1959663581ea8c75d311,1.0,1.0,1.0,3.0
5426,e983dc2428164698571e1dd1b25c4322181adbac,1.0,1.0,1.0,3.0
5427,cea62343956c24452700c06cf028b72414c58a74,1.0,1.0,1.0,3.0
