,revertingDate,revertingCommit,revertedCommit,revertedDate,timeLag,type
3660,1292521105,5e52f1c5e85fdc3831eeae8b546577e94a586f81,1af3c2e45e7a641e774bbb84fa428f2f0bf2d9c9,1288129314,51,HMG
3661,1292521100,ac57cd5ee1935d1e60de86d75f13f377775f1c96,82e3e767c21fef2b1b38868e20eb4e470a1e38e3,1289409967,36,HMG
3706,1289297816,e74cfed521746544e6eeee84b24bd31c1e59ffe2,629e894173c9de589913cf649deaadec4b0579bd,1289130602,2,HMG
3707,1289497262,868719752d60fb04a3714d77fdeb780b4d585faf,ef821ae70fc35a76bdce7e07c70a1a7c2c33cdb9,1288738038,9,H
3827,1275006556,0fe6e20b9c4c53b3e97096ee73a0857f60aad43f,23be7468e8802a2ac1de6ee3eecb3ec7f14dc703,1272043076,35,HMG
3828,1276210164,c48271e0729a42a0692a5b7e1aa1552d7f2ff8ab,04cab1329336d4577d6638360c905e360934b425,1187522955,1026,HMG
3844,1280410769,7cdee5dbf477409e4afc6c9063492dc2577b41ea,b7dc2df5725fe7355fd76000ead7e39728e1b8a9,1277307887,36,HMG
3937,1271737551,d4b74bf07873da2e94219a7b67a334fc1c3ce649,fb8b5a39b6310379d7b54c0c7113703a8eaf4a57,1270631479,13,HMG
3945,1269875773,a1f4b7ff23d9698b6556c5030c781caecad8c1e2,6070a4a928f8c92b9fae7d6717ebbb05f425d6b2,1265636112,49,HMG
3975,1267825456,76595f79d76fbe6267a51b3a866a028d150f06d4,c46f739dd39db3b07ab5deb4e3ec81e1c04a91af,1196254758,828,HMG
4102,1255724566,58ce48a9de1dd47acb5dc00e2837214d2be1d92a,b56ab33d68638e6aafdbfc694025e8354a628f49,1255385613,4,HMG
4120,1255348769,9a821b231644028f8e2a853eb33d1184e925b183,d93a8f829fe1d2f3002f2c6ddb553d12db420412,1255301877,1,HMG
4154,1252172003,f61f925859c57f6175082aeeee17743c68558a6e,eab4b645769fa2f8703f5a3cb0cc4ac090d347af,1218437656,390,HMG
4187,1247641150,a3ca86aea507904148870946d599e07a340b39bf,6bf676723ab2a6ade05feb2cd0b5073930f72d7e,1229706661,208,H
4264,1240547572,a38d75fa2e48d4960b656eac39bc8a6b584a83c0,fdbdc7fc79c02ae4ede869d514179a2c65633d28,1239140038,17,HMG
